city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps,sun_jan,sun_feb,sun_mar,sun_apr,sun_may,sun_jun,sun_jul,sun_aug,sun_sep,sun_oct,sun_nov,sun_dec,sun_year,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,temp_year
Caracas,Venezuela,4.9025,9.82,3.0535,0.0,1.3235,4.544250000000001,1.0,5.221,4.178333333333334,0.0,2.2725,1.978,4.180000000000001,1.6415000000000002,4.38,4.5504999999999995,4.0985,10.4806,-66.9036,VEN,3242000.0,10.0,185.12,49.38,229.4,217.5,235.6,183.0,182.9,183.0,210.8,217.0,213.0,210.8,210.0,213.9,2506.9,"20.2
(68.4)","20.8
(69.4)","21.7
(71.1)","22.7
(72.9)","23.2
(73.8)","22.6
(72.7)","22.2
(72.0)","22.3
(72.1)","22.7
(72.9)","22.4
(72.3)","22.0
(71.6)","20.7
(69.3)","22.0
(71.6)"
Chicago,United States,3.702,4.766000000000001,9.513,8.368,5.5075,4.57975,8.671,3.832,6.215999999999998,7.999,6.8045,6.5145,4.062,6.599499999999999,8.193,6.1339999999999995,5.4155,41.8375,-87.6866,USA,8489066.0,10.0,4819.49,62.56,135.8,136.2,187.0,215.3,281.9,311.4,318.4,283.0,226.6,193.2,113.3,106.3,2508.4,"−4.6
(23.7)","−2.4
(27.7)","3.2
(37.7)","9.4
(48.9)","15.0
(59.0)","20.5
(68.9)","23.3
(73.9)","22.4
(72.3)","18.1
(64.5)","11.4
(52.5)","4.6
(40.3)","−2.4
(27.7)","9.8
(49.7)"
Chisinau,Moldova,9.6765,9.343,3.0535,0.0,1.6025,5.495,5.443333333333333,7.627999999999999,5.065999999999999,1.3995,4.3382499999999995,3.9765000000000006,6.2325,5.3615,2.7120000000000006,6.646999999999999,3.121,47.0228,28.8353,MDA,639000.0,4.87,448.7,9.02,75.0,80.0,125.0,187.0,254.0,283.0,299.0,295.0,226.0,169.0,75.0,58.0,2126.0,"−1.9
(28.6)","−0.8
(30.6)","3.7
(38.7)","10.4
(50.7)","16.5
(61.7)","19.9
(67.8)","22.1
(71.8)","21.7
(71.1)","16.3
(61.3)","10.5
(50.9)","4.1
(39.4)","−0.6
(30.9)","10.2
(50.4)"
Christchurch,New Zealand,6.934000000000001,5.096,1.5355000000000003,0.0,0.8334999999999999,5.51775,10.0,7.584999999999999,8.312333333333333,4.756,9.2565,5.505500000000001,5.9315,5.922,3.223500000000001,8.403500000000001,6.269,-43.5311,172.6361,NZL,383200.0,8.34,3327.32,49.09,224.4,190.5,177.4,155.6,133.3,117.7,124.8,149.0,166.6,201.3,215.3,214.3,2070.2,"17.5
(63.5)","17.2
(63.0)","15.5
(59.9)","12.7
(54.9)","9.8
(49.6)","7.1
(44.8)","6.6
(43.9)","7.9
(46.2)","10.3
(50.5)","12.2
(54.0)","14.1
(57.4)","16.1
(61.0)","12.2
(54.0)"
Copenhagen,Denmark,4.227,3.426,6.206999999999999,4.467,6.3,6.2955000000000005,9.94,9.1525,7.985333333333334,5.301,8.27225,4.886500000000001,5.0680000000000005,7.239500000000001,7.063000000000001,9.0955,4.671000000000001,55.6805,12.5615,DNK,1366301.0,12.05,3670.25,37.29,56.0,83.0,152.0,226.0,271.0,260.0,246.0,231.0,175.0,107.0,60.0,45.0,1912.0,"1.4
(34.5)","1.4
(34.5)","3.5
(38.3)","7.7
(45.9)","12.5
(54.5)","15.6
(60.1)","18.1
(64.6)","17.7
(63.9)","13.9
(57.0)","9.8
(49.6)","5.5
(41.9)","2.5
(36.5)","9.1
(48.4)"
Curitiba,Brazil,9.4295,8.433,2.912,2.148,0.8900000000000001,4.950250000000001,2.781,5.9465,5.897,1.0165000000000002,7.75725,2.187,2.8525,3.1420000000000003,7.1875,7.848000000000001,2.6655,-25.4297,-49.2719,BRA,1773718.0,5.75,492.89,22.55,160.5,151.3,163.1,155.5,148.8,141.3,162.1,173.0,124.3,136.7,163.5,164.7,1844.8,"20.4
(68.7)","20.6
(69.1)","19.6
(67.3)","17.2
(63.0)","14.5
(58.1)","13.1
(55.6)","12.9
(55.2)","14.1
(57.4)","15.0
(59.0)","16.5
(61.7)","18.2
(64.8)","19.3
(66.7)","16.8
(62.2)"
Dar es Salaam,Tanzania,7.652000000000001,8.026,2.6875000000000004,3.191,1.4535,2.07575,3.2886666666666664,6.1005,3.238666666666667,0.0,2.0802500000000004,5.499999999999999,4.497000000000001,1.11,1.205,2.7665,4.3535,-6.8161,39.2803,TZA,7962000.0,6.64,264.32,44.53,251.0,241.0,217.0,156.0,192.0,231.0,251.0,242.0,243.0,254.0,270.0,287.0,2815.0,"27.4
(81.3)","27.7
(81.9)","27.4
(81.3)","26.5
(79.7)","25.5
(77.9)","24.2
(75.6)","23.5
(74.3)","23.7
(74.7)","24.3
(75.7)","25.3
(77.5)","26.3
(79.3)","27.3
(81.1)","25.8
(78.4)"
Denver,United States,3.8375,5.102,7.8645,6.117,4.243,4.530000000000001,8.671,5.371,6.220333333333333,3.6245,7.11675,6.5145,4.346,5.418500000000001,6.2235,7.860499999999999,7.932999999999999,39.762,-104.8758,USA,2691349.0,9.4,5565.78,73.23,215.3,211.1,255.6,276.2,290.0,315.3,325.0,306.4,272.3,249.2,194.3,195.9,3106.6,"−0.3
(31.4)","0.8
(33.4)","4.8
(40.7)","8.9
(48.0)","14.2
(57.6)","19.7
(67.4)","23.4
(74.1)","22.3
(72.1)","17.3
(63.2)","10.4
(50.7)","3.8
(38.9)","−0.9
(30.3)","10.4
(50.7)"
Detroit,United States,6.223000000000001,6.032,5.4015,5.183999999999999,3.6405,0.933,8.671,4.4615,5.786333333333332,5.8185,4.04675,6.5145,3.7785,6.167000000000002,7.478,3.678,5.387499999999999,42.3834,-83.1024,USA,3716929.0,8.75,3926.67,72.0,119.9,138.3,184.9,217.0,275.9,301.8,317.0,283.5,227.6,176.0,106.3,87.7,2435.9,"−3.7
(25.3)","−2.3
(27.9)","2.7
(36.9)","9.4
(49.0)","15.2
(59.4)","20.7
(69.2)","23.0
(73.4)","22.1
(71.8)","17.9
(64.2)","11.2
(52.2)","5.2
(41.3)","−1.2
(29.9)","10.0
(50.0)"
Dublin,Ireland,2.5124999999999997,4.005000000000001,5.651,6.204,4.7615,5.44625,8.345666666666666,7.121499999999999,6.8103333333333325,5.6065,6.5015,7.514500000000001,6.254999999999999,8.3435,7.134500000000001,7.328,5.664,53.3497,-6.2603,IRL,592713.0,10.01,3177.2,59.14,59.0,75.0,109.0,160.0,195.0,179.0,164.0,157.0,129.0,103.0,71.0,53.0,1453.0,"5.3
(41.5)","5.3
(41.5)","6.8
(44.2)","8.3
(46.9)","10.9
(51.6)","13.6
(56.5)","15.6
(60.1)","15.3
(59.5)","13.4
(56.1)","10.5
(50.9)","7.4
(45.3)","5.6
(42.1)","9.8
(49.6)"
Edinburgh,United Kingdom,5.8450000000000015,5.114,4.109,3.3369999999999997,5.185,5.967500000000001,8.991999999999999,8.485,8.552333333333332,6.092500000000001,7.763,5.438,5.9545,5.1755,7.200500000000001,7.922000000000001,5.131,55.95,-3.1833,GBR,488050.0,7.38,2761.09,34.38,54.0,79.0,115.0,145.0,188.0,166.0,172.0,162.0,129.0,101.0,71.0,46.0,1427.0,"4.2
(39.6)","4.5
(40.1)","6.2
(43.2)","8.1
(46.6)","10.8
(51.4)","13.5
(56.3)","15.3
(59.5)","15.2
(59.4)","13.0
(55.4)","9.8
(49.6)","6.7
(44.1)","4.2
(39.6)","9.3
(48.7)"
Edmonton,Canada,6.729500000000001,5.522,4.6240000000000006,2.392,1.9019999999999997,5.09725,8.966,7.1175000000000015,8.269,5.948,8.17575,5.8405000000000005,7.2745000000000015,4.609999999999999,3.974,7.9255,3.385,53.5344,-113.4903,CAN,1151635.0,8.89,3403.02,59.09,100.8,121.7,176.3,244.2,279.9,285.9,307.5,282.3,192.7,170.8,98.4,84.5,2344.8,"−10.4
(13.3)","−7.6
(18.3)","−2.5
(27.5)","5.4
(41.7)","11.5
(52.7)","15.5
(59.9)","17.7
(63.9)","16.9
(62.4)","11.4
(52.5)","5.1
(41.2)","−4.1
(24.6)","−8.8
(16.2)","4.2
(39.6)"
Frankfurt,Germany,5.957,5.143,3.768,3.398999999999999,8.529,5.923,9.072333333333331,6.8375,7.707333333333334,5.2065,6.4755,5.373500000000001,3.9035,4.079,6.492,7.0345,5.384,50.1106,8.6822,DEU,775790.0,9.05,3365.64,38.65,50.0,80.0,121.0,178.0,211.0,219.0,233.0,219.0,156.0,103.0,51.0,41.0,1662.0,"1.6
(34.9)","2.4
(36.3)","6.4
(43.5)","10.3
(50.5)","14.7
(58.5)","17.8
(64.0)","20
(68)","19.5
(67.1)","15.2
(59.4)","10.4
(50.7)","5.6
(42.1)","2.5
(36.5)","10.6
(51.1)"
Helsinki,Finland,5.396000000000001,4.121,5.683,5.507,4.7505,5.77925,9.450666666666669,8.674000000000001,7.953666666666665,5.4544999999999995,9.301,3.921,4.8785,5.1034999999999995,7.054500000000001,7.501500000000001,4.797999999999999,60.1708,24.9375,FIN,1360075.0,9.72,2874.65,22.85,38.0,70.0,138.0,194.0,284.0,297.0,291.0,238.0,150.0,93.0,36.0,29.0,1858.0,"−3.9
(25.0)","−4.7
(23.5)","−1.3
(29.7)","3.9
(39.0)","10.2
(50.4)","14.6
(58.3)","17.8
(64.0)","16.3
(61.3)","11.5
(52.7)","6.6
(43.9)","1.6
(34.9)","−2.0
(28.4)","5.9
(42.6)"
Ho Chi Minh City,Vietnam,8.618,8.844000000000001,4.93,1.7390000000000003,2.08,5.1835,4.101666666666666,6.767500000000001,5.540333333333333,4.116499999999999,1.4197499999999998,4.8345,5.045,4.565,5.874000000000001,5.943499999999999,1.2575,10.7756,106.7019,VNM,15136000.0,4.08,487.51,11.48,245.0,246.0,272.0,239.0,195.0,171.0,180.0,172.0,162.0,182.0,200.0,226.0,2489.0,"26.0
(78.8)","26.8
(80.2)","28.0
(82.4)","29.2
(84.6)","28.8
(83.8)","27.8
(82.0)","27.5
(81.5)","27.4
(81.3)","27.2
(81.0)","27.0
(80.6)","26.7
(80.1)","26.0
(78.8)","27.4
(81.3)"
Honolulu,United States,2.3415000000000004,2.867,4.1335,0.0,1.983,4.1617500000000005,8.671,6.8565000000000005,6.430999999999997,4.2805,6.094000000000001,6.5145,4.204,6.158,7.622999999999999,7.774000000000001,5.917500000000001,21.3294,-157.846,USA,346323.0,10.0,4091.19,66.61,213.5,212.7,259.2,251.8,280.6,286.1,306.2,303.1,278.8,244.0,200.4,199.5,3035.9,"22.9
(73.2)","22.9
(73.2)","23.7
(74.7)","24.6
(76.3)","25.6
(78.1)","26.8
(80.2)","27.4
(81.3)","27.8
(82.0)","27.6
(81.7)","26.8
(80.2)","25.4
(77.7)","23.8
(74.8)","25.4
(77.7)"
Houston,United States,5.224500000000001,6.162,7.9345,4.474,4.338500000000001,4.03075,8.671,3.1289999999999996,6.379,4.928,5.304500000000001,6.5145,4.772,6.248499999999999,7.144,5.34,5.385999999999999,29.786,-95.3885,USA,6046392.0,9.0,5063.25,73.91,143.4,155.0,192.5,209.8,249.2,281.3,293.9,270.5,236.5,228.8,168.3,148.7,2577.9,"11.5
(52.7)","13.3
(56.0)","16.9
(62.4)","20.7
(69.2)","24.8
(76.6)","27.7
(81.9)","28.9
(84.0)","29.0
(84.2)","26.3
(79.4)","21.7
(71.1)","16.6
(61.9)","12.3
(54.1)","20.8
(69.4)"
Indianapolis,United States,6.266,5.478,5.503,3.96,1.6815000000000002,4.85875,8.671,3.968,6.151333333333332,3.6245,6.1605,6.5145,4.062,5.875500000000001,7.299,6.869999999999999,3.965,39.7771,-86.1458,USA,1740984.0,8.0,4562.61,72.62,132.1,145.7,178.3,214.8,264.7,287.2,295.2,273.7,232.6,196.6,117.1,102.4,2440.4,"−2.2
(28.1)","0.1
(32.2)","5.7
(42.3)","11.8
(53.2)","17.2
(62.9)","22.3
(72.2)","24.2
(75.5)","23.5
(74.3)","19.5
(67.1)","12.9
(55.2)","6.6
(43.8)","−0.1
(31.8)","11.8
(53.2)"
Istanbul,Turkey,9.1375,8.787,6.9535,2.111,5.8355,4.06575,5.948333333333333,6.8935,6.839999999999998,2.1525,3.40475,4.093500000000001,4.323499999999999,3.5005,10.0,3.8925,5.7435,41.0136,28.955,TUR,14441000.0,4.29,383.04,8.9,71.0,88.0,133.0,180.0,251.0,300.0,322.0,295.0,243.0,164.0,102.0,68.0,2218.0,"5.7
(42.3)","5.7
(42.3)","7.0
(44.6)","11.1
(52.0)","15.7
(60.3)","20.4
(68.7)","22.9
(73.2)","23.1
(73.6)","19.8
(67.6)","15.6
(60.1)","11.5
(52.7)","8.0
(46.4)","13.9
(57.0)"
Jakarta,Indonesia,8.671,8.471,5.649500000000001,6.437,2.4885000000000006,3.640000000000001,4.028666666666666,7.0005,4.183999999999999,1.0275,2.4857500000000003,4.657500000000001,6.266,4.498999999999999,8.146,2.0665,7.202000000000001,-6.175,106.8275,IDN,33756000.0,3.57,509.12,31.57,189.1,180.8,238.7,255.0,260.4,255.0,282.1,294.5,300.7,279.0,231.0,217.0,2983.3,"26.1
(79.0)","26.1
(79.0)","26.4
(79.5)","27.0
(80.6)","27.2
(81.0)","26.7
(80.1)","26.4
(79.5)","26.7
(80.1)","27.0
(80.6)","27.2
(81.0)","27.0
(80.6)","26.4
(79.5)","26.7
(80.1)"
Johannesburg,South Africa,8.012,7.575000000000001,4.937499999999999,1.467,3.2030000000000003,3.91575,4.732,5.165500000000001,3.6486666666666663,0.7585,4.325500000000001,2.7680000000000007,5.151,2.8375,4.4014999999999995,3.6605,2.9560000000000004,-26.2044,28.0456,ZAF,7860781.0,4.28,1502.75,49.89,250.1,224.8,238.8,236.9,276.0,266.9,283.9,284.1,280.8,269.5,248.7,263.9,3124.4,"19.5
(67.1)","19.0
(66.2)","18.0
(64.4)","15.3
(59.5)","12.6
(54.7)","9.6
(49.3)","10.0
(50.0)","12.5
(54.5)","15.9
(60.6)","17.1
(62.8)","17.9
(64.2)","19.0
(66.2)","15.5
(59.9)"
La Paz,Bolivia,4.724,0.0,1.4975000000000005,0.0,1.3190000000000002,3.834249999999999,3.4819999999999993,6.750500000000001,4.315999999999999,0.0,1.73375,4.536,4.5489999999999995,1.548,1.525,6.292999999999999,5.499999999999999,-16.4958,-68.1333,BOL,321073.0,6.51,499.75,47.42,182.9,152.6,148.8,165.0,222.7,240.0,235.6,217.0,189.0,179.8,171.0,186.0,2288.9,"9.3
(48.7)","9.0
(48.2)","8.9
(48.0)","8.8
(47.8)","8.2
(46.8)","7.3
(45.1)","6.8
(44.2)","8.2
(46.8)","8.7
(47.7)","10.0
(50.0)","10.5
(50.9)","9.7
(49.5)","8.8
(47.8)"
Lagos,Nigeria,7.767,9.098,6.4335,2.5100000000000007,1.7479999999999998,3.56475,3.255666666666666,5.999499999999999,2.862333333333333,0.0,1.90725,5.061,6.2155000000000005,1.634,1.3585,1.406,3.8245,6.455,3.3841,NGA,16637000.0,6.75,214.64,52.83,164.3,169.5,173.6,180.0,176.7,114.0,99.2,108.5,114.0,167.4,186.0,192.2,1845.4,"27.3
(81.1)","28.5
(83.3)","28.5
(83.3)","28
(82)","27.1
(80.8)","25.6
(78.1)","25.3
(77.5)","25.1
(77.2)","25.5
(77.9)","26.4
(79.5)","27.2
(81.0)","27.2
(81.0)","26.8
(80.2)"
Lima,Peru,8.712,8.496,3.8835,1.65,2.012,4.7589999999999995,5.001666666666667,5.2905,5.710666666666665,0.5,2.48075,3.1625000000000005,6.524,2.41,6.8085,6.0805,5.388000000000001,-12.06,-77.0375,PER,10320000.0,5.22,489.76,30.91,179.1,169.0,139.2,184.0,116.4,50.6,28.6,32.3,37.3,65.3,89.0,139.2,1230.0,"22.1
(71.8)","22.7
(72.9)","22.2
(72.0)","20.6
(69.1)","18.8
(65.8)","17.5
(63.5)","16.7
(62.1)","16.2
(61.2)","16.4
(61.5)","17.3
(63.1)","18.7
(65.7)","20.7
(69.3)","19.2
(66.6)"
Lisbon,Portugal,6.734000000000001,7.004000000000001,6.022,3.194,4.191000000000001,5.31575,8.238666666666665,8.438,7.860333333333332,4.48,6.4115,3.483,4.1575,6.394000000000001,7.833500000000001,9.597,5.690999999999999,38.7122,-9.134,PRT,548703.0,7.38,1125.31,35.58,143.0,157.0,208.0,234.0,291.0,303.0,353.0,344.0,261.0,214.0,156.0,143.0,2806.0,"11.6
(52.9)","12.7
(54.9)","14.9
(58.8)","15.9
(60.6)","18.0
(64.4)","21.2
(70.2)","23.1
(73.6)","23.5
(74.3)","22.1
(71.8)","18.8
(65.8)","15.0
(59.0)","12.4
(54.3)","17.5
(63.5)"
Ljubljana,Slovenia,8.214000000000002,6.749000000000001,4.088000000000001,1.2300000000000002,2.293,5.69875,7.676666666666666,8.953,7.671666666666668,4.851999999999999,8.661750000000001,4.7205,4.8100000000000005,5.4895000000000005,4.7989999999999995,8.184000000000001,1.8225,46.0514,14.5061,SVN,284293.0,6.53,1392.17,34.72,71.0,114.0,149.0,178.0,235.0,246.0,293.0,264.0,183.0,120.0,66.0,56.0,1974.0,"0.3
(32.5)","1.9
(35.4)","6.5
(43.7)","10.8
(51.4)","15.8
(60.4)","19.1
(66.4)","21.3
(70.3)","20.6
(69.1)","16.0
(60.8)","11.2
(52.2)","5.6
(42.1)","1.2
(34.2)","10.9
(51.6)"
London,United Kingdom,1.0,3.94,10.0,9.859,9.4025,5.3955,8.991999999999999,7.243500000000001,8.017999999999999,9.027,5.547750000000001,5.438,5.9545,5.8455,9.4555,6.573,5.374499999999999,51.5072,-0.1275,GBR,11262000.0,8.61,4033.84,35.92,62.0,78.0,115.0,169.0,199.0,204.0,212.0,205.0,149.0,117.0,73.0,52.0,1633.0,"5.2
(41.4)","5.3
(41.5)","7.6
(45.7)","9.9
(49.8)","13.3
(55.9)","16.5
(61.7)","18.7
(65.7)","18.5
(65.3)","15.7
(60.3)","12.0
(53.6)","8.0
(46.4)","5.5
(41.9)","11.3
(52.3)"
Los Angeles,United States,1.5275,4.556000000000001,10.0,10.0,3.9585,3.677000000000001,8.574666666666667,5.705,6.027333333333332,8.6245,4.7315000000000005,6.5145,4.7675,5.496500000000001,9.196,6.959999999999999,6.747,34.1141,-118.4068,USA,11885717.0,10.0,5456.15,67.95,225.3,222.5,267.0,303.5,276.2,275.8,364.1,349.5,278.5,255.1,217.3,219.4,3254.2,"14.4
(58.0)","14.9
(58.9)","15.9
(60.6)","17.3
(63.1)","18.8
(65.8)","20.7
(69.2)","22.9
(73.3)","23.5
(74.3)","22.8
(73.1)","20.3
(68.6)","16.9
(62.4)","14.2
(57.6)","18.6
(65.4)"
Luxembourg,Luxembourg,2.4530000000000003,3.411,3.307500000000001,1.8990000000000005,4.5805,5.8445,7.856666666666666,8.627999999999998,8.220333333333333,3.4795,8.57625,7.473000000000001,7.151,5.458,4.495500000000001,8.8045,1.475,49.6117,6.1319,LUX,132780.0,10.54,4272.11,56.49,43.0,82.0,118.0,165.0,208.0,210.0,232.5,208.0,159.0,108.5,57.0,43.0,1634.0,"0.8
(33.4)","1.6
(34.9)","5.2
(41.4)","8.7
(47.7)","13.0
(55.4)","15.9
(60.6)","18.2
(64.8)","17.7
(63.9)","13.9
(57.0)","9.5
(49.1)","4.7
(40.5)","1.8
(35.2)","9.3
(48.7)"
Lyon,France,6.697000000000001,4.349,4.4995,3.083,5.963000000000001,5.18525,8.088333333333333,7.134499999999999,8.641666666666666,4.5805,6.54325,4.2045,2.648000000000001,9.403,5.987500000000001,6.5169999999999995,5.373500000000001,45.76,4.84,FRA,520774.0,10.54,2714.26,38.89,74.0,101.0,170.0,191.0,221.0,254.0,283.0,253.0,195.0,130.0,76.0,54.0,2002.0,"3.4
(38.1)","4.8
(40.6)","8.4
(47.1)","11.4
(52.5)","15.8
(60.4)","19.4
(66.9)","22.1
(71.8)","21.6
(70.9)","17.6
(63.7)","13.4
(56.1)","7.5
(45.5)","4.3
(39.7)","12.5
(54.5)"
Madrid,Spain,6.414000000000001,6.2490000000000006,0.0,4.79,5.8555,5.285750000000001,7.1196666666666655,7.7925,8.916333333333332,4.291500000000001,5.5655,4.296,3.894000000000001,6.241,9.338,7.665000000000001,6.22,40.4169,-3.7033,ESP,6211000.0,8.43,2089.54,38.1,148.0,157.0,214.0,231.0,272.0,310.0,359.0,335.0,261.0,198.0,157.0,124.0,2769.0,"6.3
(43.3)","7.9
(46.2)","11.2
(52.2)","12.9
(55.2)","16.7
(62.1)","22.2
(72.0)","25.6
(78.1)","25.1
(77.2)","20.9
(69.6)","15.1
(59.2)","9.9
(49.8)","6.9
(44.4)","15.0
(59.0)"
Managua,Nicaragua,4.7855,0.0,1.866,0.0,0.6075,0.0,4.600333333333333,7.774500000000001,6.403666666666666,0.0,3.3405,3.9395,3.2544999999999997,1.177,1.837,9.239,1.4335,12.1364,-86.2514,NIC,1051236.0,5.5,358.51,58.25,263.5,254.2,291.4,276.0,229.4,186.0,151.9,195.3,210.0,223.2,231.0,248.0,2759.9,"26.3
(79.3)","27.2
(81.0)","28.5
(83.3)","29.3
(84.7)","29.3
(84.7)","27.2
(81.0)","26.8
(80.2)","27.2
(81.0)","26.8
(80.2)","26.5
(79.7)","26.3
(79.3)","26.2
(79.2)","27.3
(81.1)"
Manila,Philippines,8.5955,8.751999999999999,4.805,3.547,2.6345,3.713,4.592333333333334,6.4345,4.297666666666667,0.0,1.683,5.006499999999999,4.303,4.608,7.584,5.503,4.8255,14.5958,120.9772,PHL,24922000.0,3.59,429.13,37.97,176.7,197.8,225.8,258.0,222.7,162.0,132.8,132.8,132.0,157.6,153.0,151.9,2103.1,"26.7
(80.1)","27.4
(81.3)","28.7
(83.7)","30.1
(86.2)","30.0
(86.0)","29.3
(84.7)","28.5
(83.3)","28.3
(82.9)","28.4
(83.1)","28.4
(83.1)","28.0
(82.4)","27.0
(80.6)","28.4
(83.1)"
Marseille,France,7.5885,6.026000000000002,3.3095000000000003,2.843,5.950500000000001,5.86075,8.088333333333333,5.252,8.843666666666666,4.442,3.942,4.2045,2.648000000000001,5.5425,5.443000000000001,6.1735,5.1835,43.2964,5.37,FRA,877215.0,9.48,2596.01,31.76,150.0,156.0,215.0,245.0,293.0,326.0,366.0,327.0,254.0,205.0,156.0,143.0,2836.0,"8.4
(47.1)","8.9
(48.0)","11.6
(52.9)","13.8
(56.8)","17.9
(64.2)","21.3
(70.3)","24.5
(76.1)","24.1
(75.4)","20.7
(69.3)","16.9
(62.4)","11.8
(53.2)","9.3
(48.7)","15.8
(60.4)"
Medellin,Colombia,9.2315,9.315,4.618,0.0,0.928,5.3545,6.348666666666665,7.477,6.790666666666666,1.531,6.17075,4.5945,1.8515000000000004,4.1485,5.029,9.302,3.662,6.2308,-75.5906,COL,2529403.0,4.83,342.66,22.22,175.5,149.0,154.2,127.9,138.9,173.0,203.2,191.6,153.4,132.9,136.4,156.2,1892.2,"22.4
(72.3)","22.7
(72.9)","22.7
(72.9)","22.4
(72.3)","22.6
(72.7)","22.9
(73.2)","23.1
(73.6)","23.1
(73.6)","22.4
(72.3)","21.8
(71.2)","21.8
(71.2)","21.9
(71.4)","22.5
(72.5)"
Melbourne,Australia,4.829999999999999,4.798000000000001,8.204,5.020000000000001,2.8465000000000003,4.872,9.399666666666668,7.1325,8.015999999999998,6.2204999999999995,7.891499999999999,6.0695000000000014,4.5885,5.896000000000001,6.461,7.0005,6.202999999999999,-37.8142,144.9631,AUS,5031195.0,9.68,4052.92,51.57,266.6,228.8,223.2,186.0,142.6,120.0,136.4,164.3,183.0,223.2,225.0,263.5,2362.6,"20.1
(68.2)","20.2
(68.4)","18.6
(65.5)","15.6
(60.1)","12.7
(54.9)","10.5
(50.9)","9.8
(49.6)","10.9
(51.6)","12.7
(54.9)","14.7
(58.5)","16.6
(61.9)","18.6
(65.5)","15.1
(59.2)"
Mexico City,Mexico,8.360000000000001,9.244,7.479999999999999,2.6340000000000003,2.87,3.806,5.760999999999998,5.464000000000001,6.379999999999999,1.713,2.5062500000000005,3.5005,4.333500000000001,5.8405000000000005,9.962,7.089,3.914,19.4333,-99.1333,MEX,21804000.0,6.7,718.92,26.67,240.0,234.0,268.0,232.0,225.0,183.0,176.0,176.0,157.0,194.0,232.0,236.0,2555.0,"14.6
(58.3)","15.9
(60.6)","18.1
(64.6)","19.6
(67.3)","20.0
(68.0)","19.4
(66.9)","18.2
(64.8)","18.3
(64.9)","18.0
(64.4)","17.1
(62.8)","16.3
(61.3)","15.0
(59.0)","17.5
(63.5)"
Milan,Italy,5.194500000000001,4.801000000000001,5.190499999999999,3.286,6.683,5.5120000000000005,6.189666666666666,7.378000000000001,8.444666666666667,4.283,4.458,3.3625,2.4365,5.013999999999999,7.917000000000001,7.2195,5.641,45.4669,9.19,ITA,1354196.0,10.22,1897.64,29.7,59.0,96.0,152.0,177.0,211.0,243.0,285.0,251.0,186.0,130.0,66.0,59.0,1915.0,"2.5
(36.5)","4.7
(40.5)","9.0
(48.2)","12.2
(54.0)","17.0
(62.6)","20.8
(69.4)","23.6
(74.5)","23.0
(73.4)","19.2
(66.6)","13.4
(56.1)","7.2
(45.0)","3.3
(37.9)","13.0
(55.4)"
Milwaukee,United States,6.1225,5.526,4.8305,2.005,1.5875,4.915000000000001,8.671,4.267,6.082333333333333,4.177,7.989000000000001,6.5145,4.204,4.346,6.8375,4.844,5.064000000000001,43.0642,-87.9675,USA,1290221.0,8.5,5043.75,62.08,140.2,151.5,185.4,213.5,275.5,304.5,321.1,281.2,215.1,178.0,112.8,104.8,2483.6,"−5.2
(22.6)","−3.2
(26.3)","1.9
(35.4)","7.8
(46.0)","13.3
(56.0)","19.2
(66.6)","22.3
(72.1)","21.7
(71.0)","17.4
(63.3)","10.9
(51.6)","4.1
(39.3)","−2.9
(26.8)","8.9
(48.1)"
Minsk,Belarus,9.4955,9.289,4.3785,0.0,3.7664999999999993,5.365500000000001,5.596333333333332,9.038,5.5106666666666655,0.5,7.04825,3.204,5.926,4.863,6.949999999999999,7.4215,4.906000000000001,53.9006,27.5586,BLR,1992862.0,5.15,549.57,13.96,34.0,72.0,133.0,185.0,270.0,267.0,271.0,251.0,154.0,103.0,39.0,28.0,1807.0,"−4.5
(23.9)","−4.4
(24.1)","0.0
(32.0)","7.2
(45.0)","13.3
(55.9)","16.4
(61.5)","18.5
(65.3)","17.5
(63.5)","12.1
(53.8)","6.6
(43.9)","0.6
(33.1)","−3.4
(25.9)","6.7
(44.1)"
Montevideo,Uruguay,8.183000000000002,6.197,2.863,2.205,1.183,5.288,7.943999999999997,5.9735000000000005,6.654999999999999,1.6900000000000002,4.545,4.416,4.8285,2.1785,4.9465,9.71,5.1785,-34.9056,-56.1842,URY,1719453.0,10.23,876.34,40.14,294.9,230.6,222.8,179.6,164.2,129.7,139.7,164.4,182.3,239.0,248.9,285.3,2481.4,"23.0
(73.4)","22.5
(72.5)","20.6
(69.1)","17.2
(63.0)","14.0
(57.2)","11.1
(52.0)","10.9
(51.6)","11.7
(53.1)","13.4
(56.1)","16.0
(60.8)","18.6
(65.5)","21.3
(70.3)","16.7
(62.1)"
